copy_to_clipboard 2Theta I_sum I_diff

  2Theta     I_plus   sI_plus    I_minus  sI_minus      I_sum     I_diff
   25.82  285.37037  25.41121  296.15630  25.84600  581.52667  -10.78593
   25.87  274.43275  24.36383  289.02190  24.94400  563.45465  -14.58915
   25.92  273.04506  25.31403  284.93360  25.81100  557.97866  -11.88854
   25.97  271.54163  25.77120  278.26170  26.06400  549.80333   -6.72007
   26.02  263.46313  24.79236  274.16840  25.24700  537.63153  -10.70527
   26.07  261.37541  23.96189  272.67830  24.42900  534.05371  -11.30289
   26.12  265.17877  24.53546  268.89940  24.69800  534.07817   -3.72063
   26.17  259.10200  24.77337  267.75630  25.14900  526.85830   -8.65430
   26.22  253.31523  23.51675  259.46830  23.78000  512.78353   -6.15307
   26.27  254.36665  24.31488  254.25740  24.32000  508.62405    0.10925
   26.32  250.59479  23.50080  253.95930  23.65100  504.55409   -3.36451
   26.37  244.64994  23.85261  252.04620  24.18200  496.69614   -7.39626
   26.42  246.28659  23.10904  250.27450  23.28400  496.56109   -3.98791
   26.47  245.15841  23.97661  249.20260  24.16200  494.36101   -4.04419
   26.52  242.91360  22.76900  246.44560  22.92500  489.35920   -3.53200
   26.57  239.84049  23.45729  241.91160  23.55700  481.75209   -2.07111
   26.62  237.79366  22.94600  241.49240  23.11500  479.28606   -3.69874
   26.67  236.49679  23.38086  240.99070  23.58700  477.48749   -4.49391
   26.72  235.22525  22.95473  232.23220  22.83200  467.45745    2.99305
   26.77  233.92573  23.02341  238.91000  23.25000  472.83573   -4.98427
   26.82  238.32978  22.83983  236.14830  22.75400  474.47808    2.18148
   26.87  232.28997  22.96731  236.47200  23.15900  468.76197   -4.18203
   26.92  235.24274  22.67904  233.43090  22.60900  468.67364    1.81184
   26.97  233.85726  23.38516  239.03450  23.62400  472.89176   -5.17724
   27.02  230.95998  22.49598  231.40500  22.52300  462.36498   -0.44502
   27.07  229.71413  22.76805  233.47850  22.94300  463.19263   -3.76437
   27.12  234.42187  22.75746  232.64510  22.68900  467.06697    1.77677
   27.17  231.49240  22.67468  230.91690  22.65800  462.40930    0.57550
   27.22  232.18112  22.70713  231.15640  22.67100  463.33752    1.02472
   27.27  229.92209  22.71255  227.11800  22.59700  457.04009    2.80409
   27.32  230.60744  22.64666  231.02870  22.67400  461.63614   -0.42126
   27.37  230.62170  22.88038  228.53690  22.79600  459.15860    2.08480
   27.42  234.74610  22.82271  230.34670  22.63900  465.09280    4.39940
   27.47  227.65961  22.29694  224.55240  22.16900  452.21201    3.10721
   27.52  228.86796  22.54335  227.66840  22.49900  456.53636    1.19956
   27.57  226.07365  22.43552  226.71040  22.47300  452.78405   -0.63675
   27.62  227.90331  22.33412  228.16160  22.35300  456.06491   -0.25829
   27.67  227.84333  22.42021  229.94480  22.52100  457.78813   -2.10147
   27.72  224.41790  22.26391  223.03050  22.21100  447.44840    1.38740
   27.77  231.04400  23.00107  227.46270  22.84900  458.50670    3.58130
